time,open,high,low,close,volume
10/6/2022 13:20,140.1205,140.23,140.04,140.1025,235500
10/6/2022 13:25,140.1,140.3971,140.1,140.3,253892
10/6/2022 13:30,140.26,140.5297,140.13,140.5,217317
10/6/2022 13:35,140.495,140.5005,140.13,140.215,238579
10/6/2022 13:40,140.2101,140.52,140.055,140.47,317678
10/6/2022 13:45,140.47,140.9,140.46,140.78,339510
10/6/2022 13:50,140.8055,141.27,140.74,141.21,473678
10/6/2022 13:55,141.19,141.33,140.91,141.11,363371
10/6/2022 14:00,141.09,141.45,141.065,141.2417,326041
10/6/2022 14:05,141.25,141.2678,140.6638,140.7,399641
10/6/2022 14:10,140.71,140.72,140.43,140.67,357396
10/6/2022 14:15,140.66,140.68,140.48,140.625,212128
10/6/2022 14:20,140.6,140.6,140.17,140.3284,264280
10/6/2022 14:25,140.35,140.76,140.33,140.6,252028
10/6/2022 14:30,140.6096,140.71,140.4511,140.47,125400
10/6/2022 14:35,140.47,140.725,140.23,140.3101,208726
10/6/2022 14:40,140.31,140.59,140.27,140.31,172642
10/6/2022 14:45,140.31,140.44,140.08,140.1,215649
10/6/2022 14:50,140.08,140.0999,139.7,139.73,354080
10/6/2022 14:55,139.72,139.7893,139.37,139.705,372361
10/6/2022 15:00,139.7,139.88,139.56,139.69,306108
10/6/2022 15:05,139.66,139.85,139.42,139.77,321998
10/6/2022 15:10,139.74,139.75,139.37,139.45,293832
10/6/2022 15:15,139.4401,139.6199,139.15,139.59,482190
10/6/2022 15:20,139.61,139.7,139.36,139.47,383719
10/6/2022 15:25,139.48,139.78,139.36,139.53,381630
10/6/2022 15:30,139.53,139.64,139.345,139.61,275430
10/6/2022 15:35,139.61,139.7599,139.5224,139.685,277789
10/6/2022 15:40,139.68,139.68,139.48,139.52,278078
10/6/2022 15:45,139.51,139.6386,139.42,139.4599,273077
10/6/2022 15:50,139.46,139.52,138.88,138.95,474269
10/6/2022 15:55,138.94,139.24,138.8598,139.2231,591309
10/6/2022 16:00,139.24,139.29,138.8,139.09,1107756
10/6/2022 16:05,139.07,139.07,138.8,139.06,3484926
10/6/2022 16:10,138.99,139.07,138.94,138.96,12640
10/6/2022 16:15,139.03,139.11,139,139.1,10817
10/6/2022 16:20,139.07,139.09,138.9,138.9,11260
10/6/2022 16:25,138.7846,139.09,138.76,139.09,1725
10/6/2022 16:30,139,139.07,138.5,138.51,96673
10/6/2022 16:35,138.52,138.6,138.34,138.55,3562
